일자,남성(명),여성(명),,,,,,,
2020-01-20,0,1,,,,,,,
2020-01-21,0,0,,,,,,,
2020-01-22,0,0,,,,,,,
2020-01-23,0,0,,,,,,,
2020-01-24,1,0,,,,,,,
2020-01-25,0,0,,,,,,,
2020-01-26,1,0,,,,,,,
2020-01-27,1,0,,,,,,,
2020-01-28,0,0,,,,,,,
2020-01-29,0,0,,,,,,,
2020-01-30,3,0,,,,,,,
2020-01-31,1,3,,,,,,,
2020-02-01,1,0,,,,,,,
2020-02-02,2,1,,,,,,,
2020-02-03,0,0,,,,,,,
2020-02-04,0,1,,,,,,,
2020-02-05,2,3,,,,,,,
2020-02-06,2,1,,,,,,,
2020-02-07,0,0,,,,,,,
2020-02-08,0,0,,,,,,,
2020-02-09,1,2,,,,,,,
2020-02-10,0,1,,,,,,,
2020-02-11,0,0,,,,,,,
2020-02-12,0,0,,,,,,,
2020-02-13,0,0,,,,,,,
2020-02-14,0,0,,,,,,,
2020-02-15,0,0,,,,,,,
2020-02-16,1,1,,,,,,,
2020-02-17,0,0,,,,,,,
2020-02-18,0,2,,,,,,,
2020-02-19,13,21,,,,,,,
2020-02-20,5,11,,,,,,,
2020-02-21,34,40,,,,,,,
2020-02-22,95,95,,,,,,,
2020-02-23,69,141,,,,,,,
2020-02-24,69,138,,,,,,,
2020-02-25,43,87,,,,,,,
2020-02-26,94,159,,,,,,,
2020-02-27,176,273,,,,,,,
2020-02-28,156,271,,,,,,,
2020-02-29,324,585,,,,,,,
2020-03-01,236,359,,,,,,,
2020-03-02,262,424,,,,,,,
2020-03-03,219,381,,,,,,,
2020-03-04,186,330,,,,,,,
2020-03-05,153,285,,,,,,,
2020-03-06,197,321,,,,,,,
2020-03-07,176,307,,,,,,,
2020-03-08,172,195,,,,,,,
2020-03-09,103,145,,,,,,,
2020-03-10,53,78,,,,,,,
2020-03-11,95,147,,,,,,,
2020-03-12,47,67,,,,,,,
2020-03-13,50,60,,,,,,,
2020-03-14,57,50,,,,,,,
2020-03-15,35,41,,,,,,,
2020-03-16,33,41,,,,,,,
2020-03-17,31,53,,,,,,,
2020-03-18,40,53,,,,,,,
2020-03-19,57,95,,,,,,,
2020-03-20,33,54,,,,,,,
2020-03-21,57,90,,,,,,,
2020-03-22,43,55,,,,,,,
2020-03-23,27,37,,,,,,,
2020-03-24,40,36,,,,,,,
2020-03-25,53,47,,,,,,,
2020-03-26,48,56,,,,,,,
2020-03-27,40,51,,,,,,,
2020-03-28,98,48,,,,,,,
2020-03-29,63,42,,,,,,,
2020-03-30,35,43,,,,,,,
2020-03-31,71,54,,,,,,,
2020-04-01,41,60,,,,,,,
2020-04-02,34,55,,,,,,,
2020-04-03,34,52,,,,,,,
2020-04-04,39,55,,,,,,,
2020-04-05,46,35,,,,,,,
2020-04-06,21,26,,,,,,,
2020-04-07,18,29,,,,,,,
2020-04-08,25,28,,,,,,,
2020-04-09,22,17,,,,,,,
2020-04-10,15,12,,,,,,,
2020-04-11,15,15,,,,,,,
2020-04-12,14,18,,,,,,,
2020-04-13,14,11,,,,,,,
2020-04-14,13,14,,,,,,,
2020-04-15,10,17,,,,,,,
2020-04-16,6,16,,,,,,,
2020-04-17,14,8,,,,,,,
2020-04-18,7,11,,,,,,,
2020-04-19,4,4,,,,,,,
2020-04-20,5,8,,,,,,,
2020-04-21,6,3,,,,,,,
2020-04-22,6,5,,,,,,,
2020-04-23,4,4,,,,,,,
2020-04-24,5,1,,,,,,,
2020-04-25,4,6,,,,,,,
2020-04-26,6,4,,,,,,,
2020-04-27,4,6,,,,,,,
2020-04-28,7,7,,,,,,,
2020-04-29,4,5,,,,,,,
2020-04-30,4,-,,,,,,,
2020-05-01,4,5,,,,,,,
2020-05-02,6,-,,,,,,,
2020-05-03,7,6,,,,,,,
2020-05-04,6,2,,,,,,,
2020-05-05,2,1,,,,,,,
2020-05-06,2,-,,,,,,,
2020-05-07,3,1,,,,,,,
2020-05-08,7,5,,,,,,,
2020-05-09,17,1,,,,,,,
2020-05-10,24,10,,,,,,,
2020-05-11,31,4,,,,,,,
2020-05-12,20,7,,,,,,,
2020-05-13,18,8,,,,,,,
2020-05-14,17,12,,,,,,,
2020-05-15,17,10,,,,,,,
2020-05-16,11,8,,,,,,,
2020-05-17,5,8,,,,,,,
2020-05-18,11,4,,,,,,,
2020-05-19,10,3,,,,,,,
2020-05-20,23,9,,,,,,,
2020-05-21,9,3,,,,,,,
2020-05-22,15,5,,,,,,,
2020-05-23,12,11,,,,,,,
2020-05-24,15,10,,,,,,,
2020-05-25,8,8,,,,,,,
2020-05-26,13,6,,,,,,,
2020-05-27,16,24,,,,,,,
2020-05-28,48,31,,,,,,,
2020-05-29,31,27,,,,,,,
2020-05-30,21,18,,,,,,,
2020-05-31,15,12,,,,,,,
2020-06-01,12,23,,,,,,,
2020-06-02,23,15,,,,,,,
2020-06-03,23,26,,,,,,,
2020-06-04,19,20,,,,,,,
2020-06-05,21,18,,,,,,,
2020-06-06,27,24,,,,,,,
2020-06-07,30,27,,,,,,,
2020-06-08,12,25,,,,,,,
2020-06-09,18,20,,,,,,,
2020-06-10,22,28,,,,,,,
2020-06-11,28,17,,,,,,,
2020-06-12,31,25,,,,,,,
2020-06-13,19,29,,,,,,,
2020-06-14,16,18,,,,,,,
2020-06-15,20,17,,,,,,,
2020-06-16,22,12,,,,,,,
2020-06-17,18,25,,,,,,,
2020-06-18,25,34,,,,,,,
2020-06-19,25,24,,,,,,,
2020-06-20,39,28,,,,,,,
2020-06-21,25,23,,,,,,,
2020-06-22,9,8,,,,,,,
2020-06-23,35,11,,,,,,,
2020-06-24,31,20,,,,,,,
2020-06-25,16,12,,,,,,,
2020-06-26,23,16,,,,,,,
2020-06-27,28,23,,,,,,,
2020-06-28,38,24,,,,,,,
2020-06-29,20,22,,,,,,,
2020-06-30,25,17,,,,,,,
2020-07-01,29,22,,,,,,,
2020-07-02,31,23,,,,,,,
2020-07-03,31,30,,,,,,,
2020-07-04,38,25,,,,,,,
2020-07-05,31,30,,,,,,,
2020-07-06,26,22,,,,,,,
2020-07-07,22,22,,,,,,,
2020-07-08,35,27,,,,,,,
2020-07-09,28,22,,,,,,,
2020-07-10,36,9,,,,,,,
2020-07-11,22,13,,,,,,,
2020-07-12,32,12,,,,,,,
2020-07-13,39,23,,,,,,,
2020-07-14,16,17,,,,,,,
2020-07-15,33,6,,,,,,,
2020-07-16,47,14,,,,,,,
2020-07-17,35,25,,,,,,,
2020-07-18,23,16,,,,,,,
2020-07-19,21,13,,,,,,,
2020-07-20,19,7,,,,,,,
2020-07-21,25,20,,,,,,,
2020-07-22,39,24,,,,,,,
2020-07-23,38,21,,,,,,,
2020-07-24,23,18,,,,,,,
2020-07-25,96,17,,,,,,,
2020-07-26,49,9,,,,,,,
2020-07-27,13,12,,,,,,,
2020-07-28,22,6,,,,,,,
2020-07-29,32,16,,,,,,,
2020-07-30,13,5,,,,,,,
2020-07-31,24,12,,,,,,,
2020-08-01,23,8,,,,,,,
2020-08-02,21,9,,,,,,,
2020-08-03,15,8,,,,,,,
2020-08-04,23,11,,,,,,,
2020-08-05,23,10,,,,,,,
2020-08-06,34,9,,,,,,,
2020-08-07,12,8,,,,,,,
2020-08-08,23,20,,,,,,,
2020-08-09,17,19,,,,,,,
2020-08-10,14,14,,,,,,,
2020-08-11,20,14,,,,,,,
2020-08-12,34,20,,,,,,,
2020-08-13,31,25,,,,,,,
2020-08-14,51,52,,,,,,,
2020-08-15,70,96,,,,,,,
2020-08-16,102,177,,,,,,,
2020-08-17,75,122,,,,,,,
2020-08-18,90,156,,,,,,,
2020-08-19,108,189,,,,,,,
2020-08-20,134,154,,,,,,,
2020-08-21,148,176,,,,,,,
2020-08-22,145,187,,,,,,,
2020-08-23,157,239,,,,,,,
2020-08-24,118,148,,,,,,,
2020-08-25,137,143,,,,,,,
2020-08-26,145,175,,,,,,,
2020-08-27,207,234,,,,,,,
2020-08-28,175,196,,,,,,,
2020-08-29,141,182,,,,,,,
2020-08-30,154,145,,,,,,,
2020-08-31,114,134,,,,,,,
2020-09-01,114,121,,,,,,,
2020-09-02,133,134,,,,,,,
2020-09-03,87,108,,,,,,,
2020-09-04,94,104,,,,,,,
2020-09-05,82,86,,,,,,,
2020-09-06,79,88,,,,,,,
2020-09-07,66,53,,,,,,,
2020-09-08,73,63,,,,,,,
2020-09-09,76,80,,,,,,,
2020-09-10,76,79,,,,,,,
2020-09-11,77,99,,,,,,,
2020-09-12,81,55,,,,,,,
2020-09-13,63,58,,,,,,,
2020-09-14,51,58,,,,,,,
2020-09-15,48,58,,,,,,,
2020-09-16,67,46,,,,,,,
2020-09-17,74,79,,,,,,,
2020-09-18,57,69,,,,,,,
2020-09-19,45,65,,,,,,,
2020-09-20,48,34,,,,,,,
2020-09-21,36,34,,,,,,,
2020-09-22,37,24,,,,,,,
2020-09-23,59,51,,,,,,,
2020-09-24,65,60,,,,,,,
2020-09-25,54,60,,,,,,,
2020-09-26,25,36,,,,,,,
2020-09-27,42,53,,,,,,,
2020-09-28,26,24,,,,,,,
2020-09-29,27,11,,,,,,,
2020-09-30,77,36,,,,,,,
2020-10-01,42,35,,,,,,,
2020-10-02,38,25,,,,,,,
2020-10-03,47,28,,,,,,,
2020-10-04,40,24,,,,,,,
2020-10-05,47,26,,,,,,,
2020-10-06,49,26,,,,,,,
2020-10-07,53,61,,,,,,,
2020-10-08,39,30,,,,,,,
2020-10-09,28,26,,,,,,,
2020-10-10,40,32,,,,,,,
2020-10-11,34,24,,,,,,,
2020-10-12,56,42,,,,,,,
2020-10-13,53,38,,,,,,,
2020-10-14,51,33,,,,,,,
2020-10-15,32,78,,,,,,,
2020-10-16,21,26,,,,,,,
2020-10-17,26,47,,,,,,,
2020-10-18,48,43,,,,,,,
2020-10-19,36,40,,,,,,,
2020-10-20,38,20,,,,,,,
2020-10-21,47,42,,,,,,,
2020-10-22,60,61,,,,,,,
2020-10-23,73,82,,,,,,,
2020-10-24,41,36,,,,,,,
2020-10-25,26,35,,,,,,,
2020-10-26,51,68,,,,,,,
2020-10-27,41,47,,,,,,,
2020-10-28,46,57,,,,,,,
2020-10-29,68,57,,,,,,,
2020-10-30,54,59,,,,,,,
2020-10-31,63,64,,,,,,,
2020-11-01,60,64,,,,,,,
2020-11-02,48,49,,,,,,,
2020-11-03,43,32,,,,,,,
2020-11-04,60,57,,,,,,,
2020-11-05,63,62,,,,,,,
2020-11-06,74,71,,,,,,,
2020-11-07,50,39,,,,,,,
2020-11-08,76,67,,,,,,,
2020-11-09,57,69,,,,,,,
2020-11-10,56,44,,,,,,,
2020-11-11,67,78,,,,,,,
2020-11-12,77,66,,,,,,,
2020-11-13,91,100,,,,,,,
2020-11-14,105,100,,,,,,,
2020-11-15,100,108,,,,,,,
2020-11-16,117,105,,,,,,,
2020-11-17,118,112,,,,,,,
2020-11-18,158,127,,,,,,,
2020-11-19,164,161,,,,,,,
2020-11-20,177,171,,,,,,,
2020-11-21,210,176,,,,,,,
2020-11-22,173,157,,,,,,,
2020-11-23,128,143,,,,,,,
2020-11-24,190,159,,,,,,,
2020-11-25,206,176,,,,,,,
2020-11-26,294,287,,,,,,,
2020-11-27,299,256,,,,,,,
2020-11-28,262,241,,,,,,,
2020-11-29,233,217,,,,,,,
2020-11-30,213,225,,,,,,,
2020-12-01,233,218,,,,,,,
2020-12-02,262,249,,,,,,,
2020-12-03,273,267,,,,,,,
2020-12-04,287,341,,,,,,,
2020-12-05,282,295,,,,,,,
2020-12-06,339,292,,,,,,,
2020-12-07,296,319,,,,,,,
2020-12-08,271,316,,,,,,,
2020-12-09,335,335,,,,,,,
2020-12-10,351,329,,,,,,,
2020-12-11,336,353,,,,,,,
2020-12-12,436,514,,,,,,,
2020-12-13,483,547,,,,,,,
2020-12-14,331,387,,,,,,,
2020-12-15,415,465,,,,,,,
2020-12-16,556,522,,,,,,,
2020-12-17,473,541,,,,,,,
2020-12-18,483,581,,,,,,,
2020-12-19,470,575,,,,,,,
2020-12-20,626,470,,,,,,,
2020-12-21,459,465,,,,,,,
2020-12-22,421,445,,,,,,,
2020-12-23,528,562,,,,,,,
2020-12-24,485,500,,,,,,,
2020-12-25,771,469,,,,,,,
2020-12-26,565,566,,,,,,,
2020-12-27,472,498,,,,,,,
2020-12-28,395,411,,,,,,,
2020-12-29,618,426,,,,,,,
2020-12-30,522,528,,,,,,,
2020-12-31,505,462,,,,,,,
2021-01-01,555,472,,,,,,,
2021-01-02,418,402,,,,,,,
2021-01-03,301,356,,,,,,,
2021-01-04,536,484,,,,,,,
2021-01-05,355,359,,,,,,,
2021-01-06,407,431,,,,,,,
2021-01-07,458,411,,,,,,,
2021-01-08,319,355,,,,,,,
2021-01-09,323,318,,,,,,,
2021-01-10,337,320,,,,,,,
2021-01-11,239,212,,,,,,,
2021-01-12,267,270,,,,,,,
2021-01-13,276,285,,,,,,,
2021-01-14,272,252,,,,,,,
2021-01-15,261,251,,,,,,,
2021-01-16,279,301,,,,,,,
2021-01-17,255,265,,,,,,,
2021-01-18,195,194,,,,,,,
2021-01-19,197,189,,,,,,,
2021-01-20,202,202,,,,,,,
2021-01-21,183,217,,,,,,,
2021-01-22,168,178,,,,,,,
2021-01-23,208,223,,,,,,,
2021-01-24,198,194,,,,,,,
2021-01-25,234,203,,,,,,,
2021-01-26,156,193,,,,,,,
2021-01-27,279,280,,,,,,,
2021-01-28,274,223,,,,,,,
2021-01-29,215,254,,,,,,,
2021-01-30,224,232,,,,,,,
2021-01-31,183,171,,,,,,,
2021-02-01,147,158,,,,,,,
2021-02-02,187,149,,,,,,,
2021-02-03,251,216,,,,,,,
2021-02-04,212,239,,,,,,,
2021-02-05,185,185,,,,,,,
2021-02-06,197,193,,,,,,,
2021-02-07,214,157,,,,,,,
2021-02-08,152,136,,,,,,,
2021-02-09,158,145,,,,,,,
2021-02-10,250,194,,,,,,,
2021-02-11,244,260,,,,,,,
2021-02-12,199,204,,,,,,,
2021-02-13,187,175,,,,,,,
2021-02-14,160,166,,,,,,,
2021-02-15,166,177,,,,,,,
2021-02-16,248,209,,,,,,,
2021-02-17,305,316,,,,,,,
2021-02-18,320,301,,,,,,,
2021-02-19,267,294,,,,,,,
2021-02-20,238,210,,,,,,,
2021-02-21,203,213,,,,,,,
2021-02-22,161,171,,,,,,,
2021-02-23,191,165,,,,,,,
2021-02-24,208,232,,,,,,,
2021-02-25,200,195,,,,,,,
2021-02-26,195,192,,,,,,,
2021-02-27,210,205,,,,,,,
2021-02-28,182,173,,,,,,,
2021-03-01,184,171,,,,,,,
2021-03-02,172,172,,,,,,,
2021-03-03,259,185,,,,,,,
2021-03-04,230,194,,,,,,,
2021-03-05,212,186,,,,,,,
2021-03-06,227,191,,,,,,,
2021-03-07,218,198,,,,,,,
2021-03-08,197,149,,,,,,,
2021-03-09,229,217,,,,,,,
2021-03-10,253,217,,,,,,,
2021-03-11,233,232,,,,,,,
2021-03-12,251,237,,,,,,,
2021-03-13,234,256,,,,,,,
2021-03-14,237,222,,,,,,,
2021-03-15,213,166,,,,,,,
2021-03-16,186,177,,,,,,,
2021-03-17,242,227,,,,,,,
2021-03-18,244,201,,,,,,,
2021-03-19,230,233,,,,,,,
2021-03-20,239,208,,,,,,,
2021-03-21,246,210,,,,,,,
2021-03-22,208,207,,,,,,,
2021-03-23,156,190,,,,,,,
2021-03-24,229,199,,,,,,,
2021-03-25,226,204,,,,,,,
2021-03-26,238,251,,,,,,,
2021-03-27,245,260,,,,,,,
2021-03-28,253,229,,,,,,,
2021-03-29,198,184,,,,,,,
2021-03-30,240,207,,,,,,,
2021-03-31,239,267,,,,,,,
2021-04-01,281,270,,,,,,,
2021-04-02,294,263,,,,,,,
2021-04-03,274,269,,,,,,,
2021-04-04,246,297,,,,,,,
2021-04-05,227,246,,,,,,,
2021-04-06,231,246,,,,,,,
2021-04-07,334,334,,,,,,,
2021-04-08,342,358,,,,,,,
2021-04-09,331,340,,,,,,,
2021-04-10,336,341,,,,,,,
2021-04-11,339,275,,,,,,,
2021-04-12,300,287,,,,,,,
2021-04-13,281,261,,,,,,,
2021-04-14,379,352,,,,,,,
2021-04-15,353,345,,,,,,,
2021-04-16,323,350,,,,,,,
2021-04-17,327,331,,,,,,,
2021-04-18,344,327,,,,,,,
2021-04-19,278,254,,,,,,,
2021-04-20,295,254,,,,,,,
2021-04-21,366,365,,,,,,,
2021-04-22,386,349,,,,,,,
2021-04-23,393,404,,,,,,,
2021-04-24,405,380,,,,,,,
2021-04-25,323,321,,,,,,,
2021-04-26,253,246,,,,,,,
2021-04-27,270,242,,,,,,,
2021-04-28,376,393,,,,,,,
2021-04-29,327,352,,,,,,,
2021-04-30,353,308,,,,,,,
2021-05-01,314,313,,,,,,,
2021-05-02,310,296,,,,,,,
2021-05-03,236,252,,,,,,,
2021-05-04,273,268,,,,,,,
2021-05-05,368,308,,,,,,,
2021-05-06,295,279,,,,,,,
2021-05-07,258,267,,,,,,,
2021-05-08,339,362,,,,,,,
2021-05-09,293,271,,,,,,,
2021-05-10,236,227,,,,,,,
2021-05-11,253,257,,,,,,,
2021-05-12,325,309,,,,,,,
2021-05-13,373,342,,,,,,,
2021-05-14,367,380,,,,,,,
2021-05-15,360,321,,,,,,,
2021-05-16,312,298,,,,,,,
2021-05-17,336,283,,,,,,,
2021-05-18,283,245,,,,,,,
2021-05-19,356,298,,,,,,,
2021-05-20,308,338,,,,,,,
2021-05-21,310,251,,,,,,,
2021-05-22,345,321,,,,,,,
2021-05-23,307,278,,,,,,,
2021-05-24,286,244,,,,,,,
2021-05-25,289,227,,,,,,,
2021-05-26,357,348,,,,,,,
2021-05-27,326,303,,,,,,,
2021-05-28,319,268,,,,,,,
2021-05-29,271,262,,,,,,,
2021-05-30,249,231,,,,,,,
2021-05-31,202,228,,,,,,,
2021-06-01,270,189,,,,,,,
2021-06-02,351,326,,,,,,,
2021-06-03,337,344,,,,,,,
2021-06-04,381,314,,,,,,,
2021-06-05,395,349,,,,,,,
2021-06-06,297,259,,,,,,,
2021-06-07,267,218,,,,,,,
2021-06-08,256,198,,,,,,,
2021-06-09,324,278,,,,,,,
2021-06-10,322,288,,,,,,,
2021-06-11,301,255,,,,,,,
2021-06-12,296,269,,,,,,,
2021-06-13,245,207,,,,,,,
2021-06-14,211,188,,,,,,,
2021-06-15,192,181,,,,,,,
2021-06-16,261,284,,,,,,,
2021-06-17,281,259,,,,,,,
2021-06-18,273,234,,,,,,,
2021-06-19,248,234,,,,,,,
2021-06-20,218,211,,,,,,,
2021-06-21,179,178,,,,,,,
2021-06-22,210,184,,,,,,,
2021-06-23,356,289,,,,,,,
2021-06-24,340,270,,,,,,,
2021-06-25,372,262,,,,,,,
2021-06-26,363,305,,,,,,,
2021-06-27,334,280,,,,,,,
2021-06-28,281,220,,,,,,,
2021-06-29,320,275,,,,,,,
2021-06-30,405,389,,,,,,,
2021-07-01,434,327,,,,,,,
2021-07-02,448,377,,,,,,,
2021-07-03,413,381,,,,,,,
2021-07-04,402,341,,,,,,,
2021-07-05,360,351,,,,,,,
2021-07-06,386,360,,,,,,,
2021-07-07,629,582,,,,,,,
2021-07-08,697,578,,,,,,,
2021-07-09,695,621,,,,,,,
2021-07-10,704,674,,,,,,,
2021-07-11,748,576,,,,,,,
2021-07-12,579,521,,,,,,,
2021-07-13,620,530,,,,,,,
2021-07-14,890,723,,,,,,,
2021-07-15,869,730,,,,,,,
2021-07-16,829,706,,,,,,,
2021-07-17,775,674,,,,,,,
2021-07-18,793,660,,,,,,,
2021-07-19,668,583,,,,,,,
2021-07-20,660,618,,,,,,,
2021-07-21,950,831,,,,,,,
2021-07-22,1058,783,,,,,,,
2021-07-23,874,755,,,,,,,
2021-07-24,864,763,,,,,,,
2021-07-25,802,685,,,,,,,
2021-07-26,711,607,,,,,,,
2021-07-27,742,621,,,,,,,
2021-07-28,950,945,,,,,,,
2021-07-29,845,828,,,,,,,
2021-07-30,895,815,,,,,,,
2021-07-31,797,741,,,,,,,
2021-08-01,731,711,,,,,,,
2021-08-02,588,630,,,,,,,
2021-08-03,598,602,,,,,,,
2021-08-04,903,822,,,,,,,
2021-08-05,944,831,,,,,,,
2021-08-06,912,792,,,,,,,
2021-08-07,941,882,,,,,,,
2021-08-08,911,816,,,,,,,
2021-08-09,755,736,,,,,,,
2021-08-10,781,756,,,,,,,
2021-08-11,1103,1118,,,,,,,
2021-08-12,1064,923,,,,,,,
2021-08-13,1092,897,,,,,,,
2021-08-14,1060,868,,,,,,,
2021-08-15,968,848,,,,,,,
2021-08-16,836,718,,,,,,,
2021-08-17,711,661,,,,,,,
2021-08-18,1009,794,,,,,,,
2021-08-19,1220,932,,,,,,,
2021-08-20,1145,905,,,,,,,
2021-08-21,1041,835,,,,,,,
2021-08-22,851,775,,,,,,,
2021-08-23,781,636,,,,,,,
2021-08-24,824,683,,,,,,,
2021-08-25,1197,957,,,,,,,
2021-08-26,1083,799,,,,,,,
2021-08-27,1000,837,,,,,,,
2021-08-28,923,868,,,,,,,
2021-08-29,881,738,,,,,,,
2021-08-30,828,657,,,,,,,
2021-08-31,750,619,,,,,,,
2021-09-01,1116,908,,,,,,,
2021-09-02,1092,868,,,,,,,
2021-09-03,964,744,,,,,,,
2021-09-04,1035,768,,,,,,,
2021-09-05,799,691,,,,,,,
2021-09-06,760,615,,,,,,,
2021-09-07,908,689,,,,,,,
2021-09-08,1145,903,,,,,,,
2021-09-09,1122,927,,,,,,,
2021-09-10,1067,825,,,,,,,
2021-09-11,1020,844,,,,,,,
2021-09-12,978,777,,,,,,,
2021-09-13,821,612,,,,,,,
2021-09-14,866,629,,,,,,,
2021-09-15,1155,923,,,,,,,
2021-09-16,1057,885,,,,,,,
2021-09-17,1136,872,,,,,,,
2021-09-18,1154,933,,,,,,,
2021-09-19,1046,863,,,,,,,
2021-09-20,896,707,,,,,,,
2021-09-21,974,755,,,,,,,
2021-09-22,940,780,,,,,,,
2021-09-23,988,727,,,,,,,
2021-09-24,1387,1042,,,,,,,
2021-09-25,1853,1415,,,,,,,
2021-09-26,1591,1177,,,,,,,
2021-09-27,1320,1061,,,,,,,
2021-09-28,1305,983,,,,,,,
2021-09-29,1680,1201,,,,,,,
2021-09-30,1478,1083,,,,,,,
2021-10-01,1476,1007,,,,,,,
2021-10-02,1345,902,,,,,,,
2021-10-03,1232,853,,,,,,,
2021-10-04,1022,648,,,,,,,
2021-10-05,983,591,,,,,,,
2021-10-06,1252,775,,,,,,,
2021-10-07,1400,1025,,,,,,,
2021-10-08,1279,892,,,,,,,
2021-10-09,1130,823,,,,,,,
2021-10-10,945,649,,,,,,,
2021-10-11,743,554,,,,,,,
2021-10-12,802,544,,,,,,,
2021-10-13,905,678,,,,,,,
2021-10-14,1107,832,,,,,,,
2021-10-15,943,740,,,,,,,
2021-10-16,883,734,,,,,,,
2021-10-17,812,608,,,,,,,
2021-10-18,584,465,,,,,,,
2021-10-19,573,500,,,,,,,
2021-10-20,887,684,,,,,,,
2021-10-21,809,632,,,,,,,
2021-10-22,805,632,,,,,,,
2021-10-23,833,675,,,,,,,
2021-10-24,807,615,,,,,,,
2021-10-25,627,563,,,,,,,
2021-10-26,672,593,,,,,,,
2021-10-27,1093,859,,,,,,,
2021-10-28,1182,928,,,,,,,
2021-10-29,1142,982,,,,,,,
2021-10-30,1159,945,,,,,,,
2021-10-31,1177,884,,,,,,,
2021-11-01,855,829,,,,,,,
2021-11-02,804,785,,,,,,,
2021-11-03,1424,1243,,,,,,,
2021-11-04,1282,1200,,,,,,,
2021-11-05,1231,1111,,,,,,,
2021-11-06,1196,1050,,,,,,,
2021-11-07,1189,1035,,,,,,,
2021-11-08,904,854,,,,,,,
2021-11-09,886,829,,,,,,,
2021-11-10,1310,1115,,,,,,,
2021-11-11,1275,1244,,,,,,,
2021-11-12,1218,1150,,,,,,,
2021-11-13,1185,1139,,,,,,,
2021-11-14,1259,1159,,,,,,,
2021-11-15,968,1037,,,,,,,
2021-11-16,1034,1090,,,,,,,
2021-11-17,1652,1535,,,,,,,
2021-11-18,1682,1610,,,,,,,
2021-11-19,1562,1471,,,,,,,
2021-11-20,1593,1612,,,,,,,
2021-11-21,1575,1545,,,,,,,
2021-11-22,1421,1405,,,,,,,
2021-11-23,1380,1318,,,,,,,
2021-11-24,2092,2023,,,,,,,
2021-11-25,2044,1893,,,,,,,
2021-11-26,1984,1912,,,,,,,
2021-11-27,2042,2025,,,,,,,
2021-11-28,1944,1981,,,,,,,
2021-11-29,1678,1629,,,,,,,
2021-11-30,1530,1502,,,,,,,
2021-12-01,2580,2542,,,,,,,
2021-12-02,2689,2574,,,,,,,
2021-12-03,2458,2486,,,,,,,
2021-12-04,2672,2680,,,,,,,
2021-12-05,2539,2587,,,,,,,
2021-12-06,2125,2199,,,,,,,
2021-12-07,2600,2354,,,,,,,
2021-12-08,3618,3556,,,,,,,
2021-12-09,3552,3550,,,,,,,
2021-12-10,3371,3651,,,,,,,
2021-12-11,3440,3537,,,,,,,
2021-12-12,3291,3398,,,,,,,
2021-12-13,2984,2833,,,,,,,
,,,,,,,,,
